,Building_Project_Name,Street_Name,Postal_District,Type,No_of_Bedrooms,Monthly_Rent,Floor_Area,Lease_Commencement_Date,Downloaded_At
3094,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,1,"1,850",400 to 500,Dec-19,2020-01-22 02:13:30.397165
3095,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,2,"2,600",700 to 800,Dec-19,2020-01-22 02:13:30.457175
3096,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,3,"3,000",900 to 1000,Dec-19,2020-01-22 02:13:30.488177
3097,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,3,"2,600",900 to 1000,Dec-19,2020-01-22 02:13:30.547181
3098,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,2,"2,700",700 to 800,Dec-19,2020-01-22 02:13:30.607186
3099,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,1,"2,000",400 to 500,Dec-19,2020-01-22 02:13:30.638229
3100,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,1,"1,900",400 to 500,Dec-19,2020-01-22 02:13:30.697196
3101,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,3,"2,700",900 to 1000,Nov-19,2020-01-22 02:13:30.756924
3102,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,3,"2,700",900 to 1000,Nov-19,2020-01-22 02:13:30.787815
3103,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,2,"2,350",700 to 800,Nov-19,2020-01-22 02:13:30.847803
3104,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,1,"2,000",400 to 500,Nov-19,2020-01-22 02:13:30.907809
3105,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,1,"1,900",400 to 500,Nov-19,2020-01-22 02:13:30.967123
3106,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,1,"1,750",400 to 500,Nov-19,2020-01-22 02:13:30.999125
3107,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,1,"1,800",400 to 500,Nov-19,2020-01-22 02:13:31.058977
3108,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,1,"2,000",400 to 500,Nov-19,2020-01-22 02:13:31.117982
3109,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,2,"2,200",700 to 800,Nov-19,2020-01-22 02:13:31.149856
3110,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,1,"1,750",400 to 500,Nov-19,2020-01-22 02:13:31.209858
3111,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,2,"2,200",700 to 800,Oct-19,2020-01-22 02:13:31.258862
3112,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,3,"3,400",1000 to 1100,Oct-19,2020-01-22 02:13:31.302864
3113,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,1,"1,800",400 to 500,Oct-19,2020-01-22 02:13:31.337866
3114,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,2,"2,650",700 to 800,Oct-19,2020-01-22 02:13:31.375870
3115,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,2,"2,500",700 to 800,Oct-19,2020-01-22 02:13:31.413651
3116,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,2,"2,700",1100 to 1200,Oct-19,2020-01-22 02:13:31.448401
3117,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,1,"2,000",600 to 700,Oct-19,2020-01-22 02:13:31.483360
3118,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,2,"2,700",700 to 800,Oct-19,2020-01-22 02:13:31.519338
3119,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,1,"1,850",400 to 500,Oct-19,2020-01-22 02:13:31.556652
3120,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,3,"1,650",1100 to 1200,Oct-19,2020-01-22 02:13:31.590048
3121,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,1,"1,900",400 to 500,Oct-19,2020-01-22 02:13:31.624050
3122,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,6,"6,600",>3000,Oct-19,2020-01-22 02:13:31.657145
3123,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,2,"2,400",700 to 800,Oct-19,2020-01-22 02:13:31.692150
3124,COCO PALMS,PASIR RIS GROVE,18,Non-landed Properties,2,"2,200",700 to 800,Oct-19,2020-01-22 02:13:31.734156
3125,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,2,"3,100",700 to 800,Dec-19,2020-01-22 02:13:33.136391
3126,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,500",400 to 500,Dec-19,2020-01-22 02:13:33.201217
3127,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,500",400 to 500,Dec-19,2020-01-22 02:13:33.259242
3128,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,200",400 to 500,Dec-19,2020-01-22 02:13:33.318054
3129,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,650",400 to 500,Dec-19,2020-01-22 02:13:33.378061
3130,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,600",400 to 500,Dec-19,2020-01-22 02:13:33.438065
3131,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,350",400 to 500,Dec-19,2020-01-22 02:13:33.499069
3132,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,800",400 to 500,Dec-19,2020-01-22 02:13:33.557560
3133,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,500",400 to 500,Dec-19,2020-01-22 02:13:33.617565
3134,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,2,"3,300",600 to 700,Dec-19,2020-01-22 02:13:33.657169
3135,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,2,"3,000",600 to 700,Dec-19,2020-01-22 02:13:33.711189
3136,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,2,"3,000",700 to 800,Dec-19,2020-01-22 02:13:33.754096
3137,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,500",400 to 500,Dec-19,2020-01-22 02:13:33.795084
3138,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,200",400 to 500,Dec-19,2020-01-22 02:13:33.835340
3139,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,2,"3,500",600 to 700,Dec-19,2020-01-22 02:13:33.888948
3140,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,400",400 to 500,Dec-19,2020-01-22 02:13:33.946775
3141,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,800",400 to 500,Nov-19,2020-01-22 02:13:33.985727
3142,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,600",400 to 500,Nov-19,2020-01-22 02:13:34.041147
3143,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,2,"2,800",700 to 800,Nov-19,2020-01-22 02:13:34.083412
3144,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,2,"3,600",600 to 700,Nov-19,2020-01-22 02:13:34.123433
3145,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,350",400 to 500,Nov-19,2020-01-22 02:13:34.186060
3146,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,700",400 to 500,Nov-19,2020-01-22 02:13:34.257062
3147,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,3,"4,600",1000 to 1100,Nov-19,2020-01-22 02:13:34.328068
3148,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,3,"4,500",1000 to 1100,Nov-19,2020-01-22 02:13:34.378071
3149,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,480",400 to 500,Nov-19,2020-01-22 02:13:34.432877
3150,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,2,"3,300",600 to 700,Nov-19,2020-01-22 02:13:34.489547
3151,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,300",400 to 500,Nov-19,2020-01-22 02:13:34.528650
3152,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,3,"3,800",900 to 1000,Nov-19,2020-01-22 02:13:34.583039
3153,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,2,"3,800",600 to 700,Nov-19,2020-01-22 02:13:34.623014
3154,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,3,"3,900",900 to 1000,Nov-19,2020-01-22 02:13:34.667013
3155,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,2,"3,900",600 to 700,Nov-19,2020-01-22 02:13:34.711978
3156,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,400",400 to 500,Nov-19,2020-01-22 02:13:34.779981
3157,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,500",400 to 500,Nov-19,2020-01-22 02:13:34.841987
3158,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,2,"3,500",700 to 800,Nov-19,2020-01-22 02:13:34.891990
3159,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,600",400 to 500,Nov-19,2020-01-22 02:13:34.939765
3160,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,500",400 to 500,Oct-19,2020-01-22 02:13:34.984512
3161,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,650",400 to 500,Oct-19,2020-01-22 02:13:35.028423
3162,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,3,"4,200",900 to 1000,Oct-19,2020-01-22 02:13:35.075058
3163,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,700",400 to 500,Oct-19,2020-01-22 02:13:35.143402
3164,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,800",400 to 500,Oct-19,2020-01-22 02:13:35.206068
3165,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,500",400 to 500,Oct-19,2020-01-22 02:13:35.245747
3166,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,850",400 to 500,Oct-19,2020-01-22 02:13:35.290749
3167,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,500",400 to 500,Oct-19,2020-01-22 02:13:35.338753
3168,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,400",400 to 500,Oct-19,2020-01-22 02:13:35.403758
3169,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,500",400 to 500,Oct-19,2020-01-22 02:13:35.448761
3170,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,750",400 to 500,Oct-19,2020-01-22 02:13:35.492631
3171,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,200",400 to 500,Oct-19,2020-01-22 02:13:35.534807
3172,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,1,"2,500",400 to 500,Oct-19,2020-01-22 02:13:35.578636
3173,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,2,"3,400",600 to 700,Oct-19,2020-01-22 02:13:35.622639
3174,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-landed Properties,3,"3,500",900 to 1000,Oct-19,2020-01-22 02:13:35.668949
3175,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,3,"3,200",1300 to 1400,Dec-19,2020-01-22 02:13:35.958808
3176,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,3,"2,600",1200 to 1300,Dec-19,2020-01-22 02:13:35.992836
3177,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,3,"3,500",1700 to 1800,Dec-19,2020-01-22 02:13:36.016838
3178,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,3,"2,700",1200 to 1300,Dec-19,2020-01-22 02:13:36.043839
3179,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,1,"1,600",700 to 800,Dec-19,2020-01-22 02:13:36.071532
3180,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,3,"2,800",1200 to 1300,Dec-19,2020-01-22 02:13:36.097533
3181,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,3,"2,900",1300 to 1400,Dec-19,2020-01-22 02:13:36.123629
3182,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,2,"2,600",1000 to 1100,Nov-19,2020-01-22 02:13:36.146632
3183,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,3,"2,400",1200 to 1300,Nov-19,2020-01-22 02:13:36.172549
3184,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,1,"2,150",600 to 700,Nov-19,2020-01-22 02:13:36.198551
3185,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,2,"2,200",1000 to 1100,Nov-19,2020-01-22 02:13:36.220735
3186,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,3,"3,100",1200 to 1300,Nov-19,2020-01-22 02:13:36.243502
3187,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,1,"1,800",600 to 700,Nov-19,2020-01-22 02:13:36.297408
3188,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,2,"2,400",1100 to 1200,Oct-19,2020-01-22 02:13:36.334423
3189,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,2,"2,400",1100 to 1200,Oct-19,2020-01-22 02:13:36.388425
3190,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,3,"3,500",1200 to 1300,Oct-19,2020-01-22 02:13:36.417427
3191,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,1,"2,100",600 to 700,Oct-19,2020-01-22 02:13:36.456432
3192,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,2,"2,700",1200 to 1300,Oct-19,2020-01-22 02:13:36.486431
3193,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,3,"2,800",1300 to 1400,Oct-19,2020-01-22 02:13:36.513363
3194,COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-landed Properties,1,"2,000",600 to 700,Oct-19,2020-01-22 02:13:36.567872
3195,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"3,550",700 to 800,Dec-19,2020-01-22 02:13:36.865907
3196,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"5,200",1100 to 1200,Dec-19,2020-01-22 02:13:36.930420
3197,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"3,800",800 to 900,Dec-19,2020-01-22 02:13:36.988447
3198,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,3,"7,000",1900 to 2000,Dec-19,2020-01-22 02:13:37.036425
3199,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"3,800",700 to 800,Dec-19,2020-01-22 02:13:37.074428
3200,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,4,"8,800",2200 to 2300,Dec-19,2020-01-22 02:13:37.112393
3201,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"3,850",800 to 900,Dec-19,2020-01-22 02:13:37.145396
3202,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"5,100",1000 to 1100,Nov-19,2020-01-22 02:13:37.179398
3203,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"4,000",800 to 900,Nov-19,2020-01-22 02:13:37.238262
3204,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"4,100",800 to 900,Nov-19,2020-01-22 02:13:37.297270
3205,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"5,000",1000 to 1100,Nov-19,2020-01-22 02:13:37.357275
3206,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"4,300",800 to 900,Nov-19,2020-01-22 02:13:37.388277
3207,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"4,100",800 to 900,Nov-19,2020-01-22 02:13:37.464282
3208,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,2,"6,600",1400 to 1500,Nov-19,2020-01-22 02:13:37.503284
3209,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"3,800",800 to 900,Nov-19,2020-01-22 02:13:37.559289
3210,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"5,500",1100 to 1200,Nov-19,2020-01-22 02:13:37.602293
3211,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"3,900",800 to 900,Nov-19,2020-01-22 02:13:37.643291
3212,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"3,800",800 to 900,Nov-19,2020-01-22 02:13:37.693303
3213,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"3,900",800 to 900,Nov-19,2020-01-22 02:13:37.724981
3214,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"3,750",800 to 900,Nov-19,2020-01-22 02:13:37.757292
3215,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"4,000",800 to 900,Nov-19,2020-01-22 02:13:37.810483
3216,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,4,"8,800",2100 to 2200,Oct-19,2020-01-22 02:13:37.842486
3217,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"4,200",700 to 800,Oct-19,2020-01-22 02:13:37.899489
3218,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"3,600",800 to 900,Oct-19,2020-01-22 02:13:37.931185
3219,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,4,"8,700",2100 to 2200,Oct-19,2020-01-22 02:13:38.005189
3220,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"5,500",1100 to 1200,Oct-19,2020-01-22 02:13:38.049195
3221,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"5,200",1100 to 1200,Oct-19,2020-01-22 02:13:38.098199
3222,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"5,000",1100 to 1200,Oct-19,2020-01-22 02:13:38.142201
3223,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"4,300",800 to 900,Oct-19,2020-01-22 02:13:38.181753
3224,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,2,"6,100",1300 to 1400,Oct-19,2020-01-22 02:13:38.222968
3225,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"4,200",800 to 900,Oct-19,2020-01-22 02:13:38.262240
3226,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"4,000",800 to 900,Oct-19,2020-01-22 02:13:38.299265
3227,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"4,150",800 to 900,Oct-19,2020-01-22 02:13:38.333111
3228,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,3,"6,000",1900 to 2000,Oct-19,2020-01-22 02:13:38.370230
3229,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,4,"10,000",2100 to 2200,Oct-19,2020-01-22 02:13:38.434256
3230,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"3,900",700 to 800,Oct-19,2020-01-22 02:13:38.496262
3231,CONCOURSE SKYLINE,BEACH ROAD,07,Non-landed Properties,1,"3,400",1000 to 1100,Oct-19,2020-01-22 02:13:38.545262
3232,CORAL ISLAND,CORAL ISLAND,04,Detached House,na*,"18,500",>8000,Dec-19,2020-01-22 02:13:39.471495
3233,CORALIS,JOO CHIAT ROAD,15,Non-landed Properties,2,"3,300",800 to 900,Dec-19,2020-01-22 02:13:40.576069
3234,CORALIS,JOO CHIAT ROAD,15,Non-landed Properties,3,"3,950",1200 to 1300,Dec-19,2020-01-22 02:13:40.618002
3235,CORALIS,JOO CHIAT ROAD,15,Non-landed Properties,2,"3,100",800 to 900,Dec-19,2020-01-22 02:13:40.638554
3236,CORALIS,JOO CHIAT ROAD,15,Non-landed Properties,3,"3,800",1200 to 1300,Dec-19,2020-01-22 02:13:40.679540
3237,CORALIS,JOO CHIAT ROAD,15,Non-landed Properties,2,"3,500",800 to 900,Dec-19,2020-01-22 02:13:40.712821
3238,CORALIS,JOO CHIAT ROAD,15,Non-landed Properties,na*,"2,300",400 to 500,Nov-19,2020-01-22 02:13:40.734272
3239,CORALIS,JOO CHIAT ROAD,15,Non-landed Properties,3,"5,300",1200 to 1300,Nov-19,2020-01-22 02:13:40.756130
3240,CORALIS,JOO CHIAT ROAD,15,Non-landed Properties,2,"3,100",800 to 900,Nov-19,2020-01-22 02:13:40.777284
3241,CORALIS,JOO CHIAT ROAD,15,Non-landed Properties,na*,"2,600",400 to 500,Nov-19,2020-01-22 02:13:40.801766
3242,CORALIS,JOO CHIAT ROAD,15,Non-landed Properties,2,"3,000",800 to 900,Nov-19,2020-01-22 02:13:40.822175
3243,CORALIS,JOO CHIAT ROAD,15,Non-landed Properties,na*,"2,100",400 to 500,Oct-19,2020-01-22 02:13:40.847179
3244,CORALIS,JOO CHIAT ROAD,15,Non-landed Properties,na*,"2,200",400 to 500,Oct-19,2020-01-22 02:13:40.871240
3245,CORALIS,JOO CHIAT ROAD,15,Non-landed Properties,na*,"2,000",400 to 500,Oct-19,2020-01-22 02:13:40.895109
3246,CORALIS,JOO CHIAT ROAD,15,Non-landed Properties,na*,"2,000",400 to 500,Oct-19,2020-01-22 02:13:40.916932
3247,CORALIS,JOO CHIAT ROAD,15,Non-landed Properties,2,"2,800",900 to 1000,Oct-19,2020-01-22 02:13:40.938224
3248,CORALIS,JOO CHIAT ROAD,15,Non-landed Properties,na*,"1,900",400 to 500,Oct-19,2020-01-22 02:13:40.959743
3249,CORALIS,JOO CHIAT ROAD,15,Non-landed Properties,na*,"2,300",400 to 500,Oct-19,2020-01-22 02:13:40.983941
3250,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,2,"5,000",900 to 1000,Dec-19,2020-01-22 02:13:41.274763
3251,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,3,"6,500",1300 to 1400,Dec-19,2020-01-22 02:13:41.341238
3252,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,1,"3,500",600 to 700,Dec-19,2020-01-22 02:13:41.399711
3253,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,2,"4,000",900 to 1000,Dec-19,2020-01-22 02:13:41.439110
3254,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,2,"5,000",900 to 1000,Dec-19,2020-01-22 02:13:41.466016
3255,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,3,"6,600",1200 to 1300,Dec-19,2020-01-22 02:13:41.496078
3256,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,3,"7,000",1500 to 1600,Dec-19,2020-01-22 02:13:41.522725
3257,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,3,"6,000",1300 to 1400,Dec-19,2020-01-22 02:13:41.548726
3258,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,2,"4,650",800 to 900,Nov-19,2020-01-22 02:13:41.579497
3259,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,2,"5,000",900 to 1000,Nov-19,2020-01-22 02:13:41.611491
3260,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,2,"5,000",800 to 900,Nov-19,2020-01-22 02:13:41.641494
3261,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,2,"4,900",900 to 1000,Nov-19,2020-01-22 02:13:41.675497
3262,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,3,"6,600",1200 to 1300,Nov-19,2020-01-22 02:13:41.713500
3263,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,1,"3,800",600 to 700,Nov-19,2020-01-22 02:13:41.752505
3264,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,2,"6,500",1000 to 1100,Nov-19,2020-01-22 02:13:41.789506
3265,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,2,"4,700",900 to 1000,Nov-19,2020-01-22 02:13:41.821672
3266,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,3,"5,600",1200 to 1300,Oct-19,2020-01-22 02:13:41.854080
3267,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,1,"3,700",600 to 700,Oct-19,2020-01-22 02:13:41.887083
3268,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,1,"3,200",600 to 700,Oct-19,2020-01-22 02:13:41.918015
3269,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,2,"4,200",900 to 1000,Oct-19,2020-01-22 02:13:41.953018
3270,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,3,"7,000",1400 to 1500,Oct-19,2020-01-22 02:13:41.979961
3271,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,2,"4,700",900 to 1000,Oct-19,2020-01-22 02:13:42.011501
3272,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,1,"3,150",600 to 700,Oct-19,2020-01-22 02:13:42.043777
3273,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,2,"4,800",800 to 900,Oct-19,2020-01-22 02:13:42.075929
3274,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,3,"6,500",1200 to 1300,Oct-19,2020-01-22 02:13:42.108055
3275,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,3,"7,000",1400 to 1500,Oct-19,2020-01-22 02:13:42.143059
3276,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-landed Properties,3,"6,700",1400 to 1500,Oct-19,2020-01-22 02:13:42.175062
3277,CORONA COURT,JALAN HAJI ALIAS,10,Terrace House,na*,"4,200",2500 to 3000,Dec-19,2020-01-22 02:13:42.359018
3278,CORONA COURT,JALAN HAJI ALIAS,10,Terrace House,na*,"5,300",2500 to 3000,Oct-19,2020-01-22 02:13:42.384019
